Cliente;Entidad;Destino;Cuenta;Fecha;Artículo;Descripción;Inicio;Cantidad;Nueva;Costo;Anterior2;Cantidad3;Nueva4;Usuario;Cantidad Final;Precio;Mes ;Año
Casa Díaz;10219;Ferreteria del Norte;50002001;11/07/2017;450821758;GRAMPA P/CORREA N.15;41;-1;40; 64,17 ; 2.630,97 ;-64,17 ; 2.566,80 ;INTFZ;1; 74,44 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002001;06/07/2017;422501878;CADENA P/PERRO N.18 LARGO 1.40 MT;0;1;1; 215,28 ; -   ; 215,28 ; 215,28 ;INTFZ;-1; 249,72 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002009;15/07/2017;424580004;HILO ALGODON CRUDO 10 x  40 GR;6;3;9; 13,99 ; 83,94 ; 41,97 ; 125,91 ;INTFZ;-3; 48,69 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002009;18/07/2017;424580004;HILO ALGODON CRUDO 10 x  40 GR;54;-2;52; 13,99 ; 755,46 ;-27,98 ; 727,48 ;INTFZ;2; 32,46 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002009;31/07/2017;424580004;HILO ALGODON CRUDO 10 x  40 GR;2;-2;0; 13,99 ; 27,98 ;-27,98 ; -   ;INTFZ;2; 32,46 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002001;11/07/2017;424583418;GANCHO P/CAÃ‘O ESTRUCT 40 x 100;61;-5;56; 36,74 ; 2.241,14 ;-183,70 ; 2.057,44 ;INTFZ;5; 213,09 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002003;11/07/2017;424582558;GANCHO P/CAÃ‘O ESTRUCT 30 x 120;21;-2;19; 88,91 ; 1.867,11 ;-177,82 ; 1.689,29 ;INTFZ;2; 206,27 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002006;10/07/2017;424587996;MECHA EZETA DE CENTRAR 1.25 MM;22;-1;21; 137,30 ; 3.020,60 ;-137,30 ; 2.883,30 ;INTFZ;1; 159,27 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002001;11/07/2017;424583416;GANCHO P/CAÃ‘O ESTRUCT 35 x  90;259;-5;254; 74,52 ; 19.300,68 ;-372,60 ; 18.928,08 ;INTFZ;5; 432,22 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002001;11/07/2017;424582140;GANCHO P/CAÃ‘O ESTRUCT 40 x 150;119;-2;117; 5,12 ; 609,28 ;-10,24 ; 599,04 ;INTFZ;2; 11,88 ;julio;2017
